name,type,breed,size,days_in_shelter,outcome_condition,is_sterilized,outcome
LUNA,DOG,BELG MALINOIS/MIX,3,0,0,1,0
LUCY,CAT,DOMESTIC MH,2,28,1,1,0
MILO,DOG,CHIHUAHUA SH/MIX,1,1,0,1,0
*DAISY,DOG,AUST CATTLE DOG,3,235,1,1,1
*HARRY,DOG,PIT BULL/MIX,1,40,1,1,0
MOSES,DOG,GERM SHEPHERD,4,1,0,0,0
ALORA,DOG,BELG MALINOIS,1,42,1,1,1
CHICA,DOG,DOBERMAN PINSCH,3,0,1,0,0
CHAROLETTE,DOG,CHIHUAHUA SH/MIX,1,21,1,1,1
LOWKEY,DOG,PIT BULL,3,0,0,0,0
LOWKEY,DOG,PIT BULL,3,7,0,0,0
MR MEOWMEOW,CAT,DOMESTIC SH,2,6,0,0,0
RASCAL,DOG,POMERANIAN/MIX,2,0,1,0,0
*ANNIE,CAT,DOMESTIC SH,1,45,1,1,1
*TED,DOG,GERM SHEPHERD,3,85,1,1,0
*MASON,DOG,TR WALKER HOUND/MIX,3,133,1,1,0
*LLOYD,DOG,PIT BULL,1,40,1,1,0
NALLIE,DOG,SIBERIAN HUSKY,3,315,1,1,0
BEAR,DOG,LABRADOR RETR/MIX,1,25,1,1,0
CHULA,DOG,GERM SHEPHERD,4,1,0,1,0
MARKUS,DOG,PARSON RUSS TER,2,0,0,1,0
BEAUMAN,DOG,GERM SHEPHERD/MIX,4,80,1,1,1
*KYMMIE,CAT,DOMESTIC SH,1,20,1,1,1
*ANGELA,CAT,DOMESTIC SH,1,20,1,1,1
*BARNEY,CAT,DOMESTIC SH,1,36,1,1,1
CHARLIE,DOG,PIT BULL,3,4,0,1,0
*ISTOFF,CAT,DOMESTIC SH,1,19,1,1,1
TESS,DOG,BORDER COLLIE,3,196,0,1,0
*BARNABY,CAT,DOMESTIC SH,2,71,1,1,0
RUGER,DOG,SCHNAUZER MIN,2,0,0,0,0
HANNAH,DOG,LABRADOR RETR/MIX,4,43,1,1,1
*LUCILLE,DOG,PIT BULL/GERM SHEPHERD,1,57,1,1,1
CURRY,CAT,DOMESTIC SH,2,34,1,1,0
JADE,DOG,GERM SHEPHERD/MIX,1,37,1,1,1
*RAVEN,CAT,DOMESTIC SH,2,43,1,1,0
*MOUSSE,DOG,PIT BULL/MIX,3,21,0,1,1
FRIJOLITO,OTHER,HORSE,5,6,0,0,0
NO NAME,OTHER,HORSE,5,6,0,0,0
FRIJOLITO,OTHER,HORSE,5,6,0,0,0
CHIQUITA,DOG,FRENCH BULLDOG,1,2,0,0,0
DENALI,DOG,PIT BULL/MIX,3,0,0,0,0
NO NAME,OTHER,HORSE,5,6,1,0,0
KILO,DOG,PIT BULL/MIX,3,0,0,0,0
*SKY,CAT,DOMESTIC SH,2,75,1,1,0
ZARA,DOG,PIT BULL/MIX,4,0,1,1,0
*HUMPHERY,OTHER,RABBIT SH,2,192,1,1,1
ELLA,CAT,DOMESTIC SH,1,32,1,1,1
*MARLON,DOG,SIBERIAN HUSKY,4,201,0,1,1
*LADY,CAT,DOMESTIC SH,2,47,1,1,1
CHUNKY,DOG,PIT BULL,3,3,0,0,0
COCO,CAT,DOMESTIC SH,1,78,1,1,1
*LEXI,CAT,DOMESTIC SH,1,43,1,1,1
*IKE,DOG,SIBERIAN HUSKY,4,5,0,1,0
DAISY,DOG,SIBERIAN HUSKY/MIX,3,0,1,0,0
LUNA,DOG,PIT BULL/MIX,3,95,1,1,1
FRAZZLE DAZZLE,CAT,DOMESTIC SH,2,54,1,1,1
*CARLY,DOG,CATAHOULA/MIX,2,97,1,1,1
BOBBY,DOG,FRENCH BULLDOG,1,1,0,0,0
ZIGGY,DOG,GERM SHEPHERD,3,5,0,0,0
*NIGEL,CAT,DOMESTIC SH,2,46,1,1,1
TROUBLE,DOG,PIT BULL,4,3,0,0,0
*EVIE,CAT,DOMESTIC SH,1,43,1,1,1
JAX,DOG,GERM SHEPHERD/MIX,3,0,0,0,0
*REEN,CAT,DOMESTIC SH,2,73,1,1,1
ROISE,DOG,FRENCH BULLDOG,1,1,0,0,0
JACK,DOG,GERM SHEPHERD,4,1,0,0,0
*JERRY,CAT,DOMESTIC SH,2,28,0,1,0
*TOM,CAT,DOMESTIC SH,4,27,0,0,0
*PHANNY,DOG,POODLE MIN,1,107,1,1,1
ENZO,DOG,SIBERIAN HUSKY,3,18,1,0,0
PRINCESS,DOG,CHIHUAHUA SH,1,40,1,0,0
SADIE,DOG,PIT BULL/MIX,3,21,0,0,0
*KIMMY,CAT,DOMESTIC SH,2,46,1,1,1
*TURNIP,OTHER,AMERICAN,2,120,1,1,1
NINA,DOG,GERM SHEPHERD,3,45,0,0,0
*MALCOM,CAT,DOMESTIC SH,2,28,1,1,1
