name,type,breed,size,days_in_shelter,outcome_condition,is_sterilized,outcome
BUDDY,DOG,LABRADOR RETR/MIX,4,0,1,1,0
COOPER,DOG,LHASA APSO/POODLE MIN,3,0,1,1,0
*CAZZ,CAT,DOMESTIC SH,2,24,1,1,0
*CHRIS,CAT,DOMESTIC MH,2,20,1,1,1
*FIONA,CAT,DOMESTIC SH,2,35,1,1,1
BOO,DOG,PIT BULL,3,2,1,1,0
SUMMER,CAT,DOMESTIC SH,2,7,0,1,0
*BOSCO,DOG,ENG BULLDOG/MIX,3,78,0,1,1
TAARNA,DOG,SIBERIAN HUSKY,3,14,1,1,1
JOSIE,DOG,VIZSLA/MIX,3,0,1,1,0
LILLY,CAT,DOMESTIC SH,2,99,0,1,1
*JOHNY,CAT,DOMESTIC SH,2,28,1,1,0
MAIZE,DOG,LABRADOR RETR,4,1,1,1,0
DON JULIO,DOG,PUG,1,1,1,1,0
SOBE,DOG,YORKSHIRE TERR,1,0,1,1,0
OREO,CAT,DOMESTIC MH,1,25,1,1,1
LOUIE,DOG,FRENCH BULLDOG,2,2,0,1,0
JINX,CAT,DOMESTIC SH,1,94,1,1,1
SARAH,CAT,DOMESTIC SH,2,191,1,1,0
LADY,DOG,MALTESE/MIX,1,14,1,0,0
DAMU,DOG,PIT BULL/MIX,4,8,0,1,0
SNOW,DOG,CATAHOULA/MIX,2,10,0,0,0
PEBBLES,DOG,CHIHUAHUA SH,1,14,1,0,0
PEANUTS,DOG,DACHSHUND,2,865,0,1,1
17,OTHER,CHICKEN,2,0,0,0,0
TIMBER,DOG,AUST CATTLE DOG,3,0,0,0,0
BENNIE,DOG,SHIH TZU,2,0,1,1,0
BLUE,DOG,BULLDOG,4,0,1,1,0
LILO,DOG,FRENCH BULLDOG,3,1,0,0,0
ALEX,CAT,DOMESTIC SH,2,36,1,1,0
BOO,DOG,BORDER COLLIE/MIX,4,7,1,1,0
KAYO,DOG,SIBERIAN HUSKY/MIX,3,1,1,1,0
VASILLIO,CAT,DOMESTIC SH,2,5,1,0,0
GHOST,DOG,SAMOYED,3,0,1,0,0
JOSIE,DOG,GERM SHEPHERD,4,2,1,1,0
WESTY,DOG,CHIHUAHUA SH,2,32,1,1,1
*MITSY,CAT,DOMESTIC SH,2,14,1,1,1
BINX,CAT,DOMESTIC SH,1,39,1,1,1
BART,DOG,BORDER COLLIE,3,0,0,1,0
*LIZZIE,DOG,CAIRN TERRIER/MIX,2,10,1,1,1
*PARSLEY,CAT,DOMESTIC MH,1,16,1,1,1
*NINA,CAT,SIAMESE/MIX,2,42,0,1,1
ROCCO,CAT,DOMESTIC SH,1,24,1,1,1
*SLY,CAT,DOMESTIC SH,1,28,1,1,1
BENTLEY,DOG,SHIH TZU,2,2,0,1,0
SIMBA,DOG,CAIRN TERRIER/MIX,1,6,0,1,0
GUAPO,DOG,CHIHUAHUA SH,1,3,1,0,0
GLORIA,CAT,PERSIAN,2,9,0,1,1
*PANINI,OTHER,GUINEA PIG,2,53,1,0,1
*BUCK,DOG,GERM SHEPHERD/SIBERIAN HUSKY,1,22,1,1,0
TONI,DOG,AUST SHEPHERD/MIX,4,1,1,1,0
*SPANKY,DOG,PARSON RUSS TER/MIX,2,27,1,0,0
*HARVEY,OTHER,PARROT,2,14,1,0,1
CALVIN,DOG,GERM SHEPHERD/MIX,4,18,1,1,0
*JAYME,OTHER,REX-MINI/MIX,2,27,1,1,1
MACGYVER,DOG,BELG MALINOIS/MIX,4,0,0,1,0
BABY,DOG,AM PIT BULL TER,4,8,1,1,0
*HAWTHORNE,CAT,DOMESTIC SH,1,38,1,1,1
*GINGER,CAT,DOMESTIC SH,1,49,1,1,0
DOONA,DOG,PIT BULL,4,0,1,1,0
*DAVIS,CAT,DOMESTIC LH,2,18,0,1,0
CHICO,DOG,CHIHUAHUA SH/MIX,2,4,1,0,0
CODY,DOG,PIT BULL/MIX,3,0,1,1,0
*EINSTEIN,DOG,POODLE TOY,2,46,0,0,0
CANELO,DOG,PIT BULL/MIX,3,7,0,0,0
*GUPPY,CAT,DOMESTIC SH,2,50,1,1,1
ITZY BITSY,DOG,CHIHUAHUA SH/MIX,1,2,0,1,0
JASPER,DOG,BORDER COLLIE/MIX,1,8,1,1,1
*JAVA,DOG,ROTTWEILER/MIX,4,31,1,1,1
MURRAY,CAT,DOMESTIC SH,1,36,1,1,1
*JOHN,CAT,DOMESTIC SH,1,32,1,1,1
*CROISSANT,DOG,WELSH CORGI CAR/MIX,3,67,1,1,1
*ANNIE,DOG,AUST SHEPHERD/MIX,3,50,1,0,0
TIGER,CAT,DOMESTIC LH,2,11,1,1,1
KENDAL,DOG,PARSON RUSS TER,2,0,1,1,0
VIOLET,CAT,DOMESTIC SH,2,0,0,0,0
*KARI,DOG,ROTTWEILER/MIX,1,15,1,1,1
AVO,DOG,CHIHUAHUA SH/MIX,2,2,1,0,0
*JASPER,CAT,DOMESTIC LH,1,10,1,1,1
*HAILEY,DOG,PARSON RUSS TER/MIX,2,24,1,1,1
BELLA,DOG,ROTTWEILER,2,15,1,1,1
PINTA,DOG,BORDER COLLIE/MIX,2,104,0,1,1
*SHILOH,DOG,CHIHUAHUA SH,2,3,1,1,0
*HARDY,OTHER,GUINEA PIG,2,9,1,0,0
BOO,DOG,BORDER COLLIE/MIX,4,2,1,1,0
SUNNY BOY,DOG,PIT BULL/LABRADOR RETR,4,1,1,0,0
MONO,DOG,ROTTWEILER,5,0,1,0,0
TRAVIESA,DOG,GERM SH POINT,3,31,0,1,1
TYCO,DOG,PARSON RUSS TER,2,1,0,1,0
KEVIN,DOG,POMERANIAN/ITAL GREYHOUND,1,8,1,1,1
PAPPAS,DOG,POODLE MIN/MIX,2,11,0,0,0
KUBA,DOG,BULLDOG/MIX,3,2,1,0,0
*SANSA,CAT,DOMESTIC SH,1,18,1,1,1
DAIMOKU,DOG,GERM SHEPHERD/LABRADOR RETR,3,3,0,1,0
*GRACE,CAT,DOMESTIC SH,2,20,1,1,1
*TRIXIBELLE,DOG,GERM SHEPHERD/MIX,3,78,1,1,1
OSO,DOG,LABRADOR RETR/MIX,4,9,0,0,0
*ELMO,DOG,BORDER COLLIE/LABRADOR RETR,3,15,1,1,1
*SPICE,CAT,DOMESTIC SH,2,70,1,1,1
CANELO,DOG,LABRADOR RETR,4,3,1,1,0
CLEO,DOG,LABRADOR RETR/MIX,3,17,0,1,0
OSCAR,DOG,MALTESE,2,25,0,1,1
ELLA,CAT,DOMESTIC SH,1,2,1,1,1
EMMA,DOG,PODENGO PEQUENO,1,9,0,1,0
ROOFEE,DOG,LABRADOR RETR/MIX,4,0,0,1,0
TROOPER,DOG,REDBONE HOUND/MIX,3,42,0,0,0
BLACKIE,CAT,DOMESTIC LH,2,11,1,1,0
WESS,DOG,GERM SHEPHERD/MIX,3,0,1,0,0
RASCAL,DOG,CHIHUAHUA SH,1,1,1,1,0
SHADOW,CAT,DOMESTIC SH,2,19,1,0,0
*BARRY,DOG,MALTESE/MIX,1,9,1,1,1
ACE,DOG,SIBERIAN HUSKY,3,1,1,1,0
SHERRY,CAT,DOMESTIC SH,1,36,1,1,1
CHAKI,DOG,AMERICAN STAFF,3,2,1,1,0
SHIZO,DOG,AKITA,3,1,0,1,0
CHUCKIE,DOG,AMER BULLDOG,4,2,1,0,0
*ABBIE,DOG,PIT BULL,4,3,1,1,0
*WILMA,CAT,DOMESTIC SH,4,30,1,1,1
SOOKIE,CAT,DOMESTIC LH,4,22,1,1,1
*BALUGA,DOG,ROTTWEILER,1,2,0,0,0
*FLAVIO,DOG,AUST SHEPHERD,2,66,0,1,0
SAM,DOG,BOXER,4,0,1,0,0
BIG YELLOW,CAT,DOMESTIC SH,2,0,1,1,0
*RAJ,CAT,DOMESTIC SH,2,11,1,1,1
CHAPO,DOG,AM PIT BULL TER,4,25,0,0,0
NINER,DOG,PIT BULL/MIX,3,9,0,1,0
GHOTTI,DOG,PIT BULL/ROTTWEILER,4,7,0,0,0
*TY,CAT,DOMESTIC SH,1,12,0,1,0
RUE,DOG,CHIHUAHUA LH,1,7,1,1,0
*MALCOLM,CAT,DOMESTIC SH,1,7,1,1,1
BADA,DOG,DACHSHUND,2,1,0,1,0
SMOKEY,DOG,PIT BULL,4,1,1,1,0
TYSON,DOG,MIN PINSCHER,3,0,1,0,0
64,OTHER,CHICKEN,2,0,0,0,0
HEATHER,DOG,CHIHUAHUA SH/MIX,1,14,1,1,1
ROCKY,DOG,LABRADOR RETR/MIX,4,14,0,0,0
*CHA CHA KHAN,OTHER,CANARY,1,17,1,0,1
*GROVER,CAT,DOMESTIC MH,2,11,1,1,1
PEANUT,DOG,CHIHUAHUA SH/MIX,1,1,1,0,0
PIXIE,DOG,PUG,2,7,1,1,0
CARAMELO,DOG,CHIHUAHUA SH,2,5,1,0,0
DIAMOND,DOG,PIT BULL/MIX,3,13,0,0,0
KELLIE,DOG,GERM SHEPHERD/MIX,3,13,0,0,0
OYNX,CAT,DOMESTIC SH,2,14,0,1,1
BISCUIT,DOG,BOXER,3,0,1,0,0
*CLINT,DOG,CATAHOULA/BORDER COLLIE,1,4,1,1,1
*ANDRE,CAT,DOMESTIC SH,1,23,1,1,1
JJ,DOG,BEARDED COLLIE/MIX,4,1,1,1,0
PAPAS,DOG,PIT BULL,3,20,0,1,0
*ANGUS,DOG,CHIHUAHUA SH,2,9,1,1,1
CLEO,DOG,CHIHUAHUA SH/MIX,2,3,1,0,0
COCO,DOG,SIBERIAN HUSKY,4,13,0,0,0
41,OTHER,CHICKEN,2,0,0,0,0
PIPPI,DOG,CHINESE CRESTED,2,0,1,1,0
SMOKEY,DOG,SHETLD SHEEPDOG/MIX,3,0,1,1,0
MIKE,CAT,DOMESTIC SH,1,38,1,1,1
RASCAL,DOG,CAIRN TERRIER/MIX,2,3,1,1,0
*JOSIE,CAT,DOMESTIC SH,1,63,1,1,1
CHRISTMAS,CAT,DOMESTIC SH,1,59,1,1,1
GLEN LEE,CAT,DOMESTIC SH,2,6,1,1,1
*AVA,DOG,POODLE MIN/MIX,2,71,1,1,1
ANGEL,DOG,DOGO ARGENTINO,3,4,0,0,0
VADA,DOG,PIT BULL,4,2,1,1,0
MUFASA,DOG,PIT BULL/BOXER,3,0,0,0,0
COLT,DOG,AUST KELPIE,3,1,1,1,0
HOBBS,DOG,FRENCH BULLDOG,2,2,0,0,0
OSSO,DOG,GERM SHEPHERD/AUST SHEPHERD,3,14,0,0,0
*MARTHA,CAT,DOMESTIC SH,2,42,1,1,1
*FEZZIK,CAT,DOMESTIC SH,2,7,1,1,1
STELLA,DOG,PIT BULL,4,66,1,1,1
SOPHIE,DOG,SHIH TZU,2,0,1,0,0
NALA,DOG,SIBERIAN HUSKY,4,59,0,1,1
MAX,DOG,GERM SHEPHERD,4,1,1,1,0
ARIES,CAT,DOMESTIC SH,2,150,0,1,1
BULLET,DOG,PIT BULL/MIX,3,3,1,1,0
*CHER,CAT,DOMESTIC SH,1,42,1,1,1
ARIEL,DOG,WELSH CORGI PEM,2,2,0,0,0
TOBY,DOG,POMERANIAN/PAPILLON,2,0,1,1,0
*ZEUS,CAT,DOMESTIC SH,1,15,1,1,1
FRIDO,CAT,DOMESTIC SH,1,14,1,1,1
CHARLIE,DOG,CHIHUAHUA SH/MIX,1,33,1,1,1
*MILLIE,OTHER,NEW ZEALAND WHT,2,134,1,1,0
*REMI,CAT,DOMESTIC SH,2,56,1,1,1
TRIXIE,DOG,CAIRN TERRIER/MIX,2,0,1,1,0
*PORSCHE,DOG,DACHSHUND,2,15,0,1,1
BUDDY,DOG,PIT BULL,4,17,1,1,1
*STAR,CAT,DOMESTIC SH,2,11,1,1,1
NELLIE,DOG,AMERICAN STAFF,4,2,1,1,0
MAX,DOG,GERM SHEPHERD,4,19,1,0,0
SCRUFFY,DOG,CAIRN TERRIER/MIX,2,42,0,1,0
CHITA,DOG,PIT BULL,4,43,1,1,0
RIZZO,DOG,PIT BULL,3,4,1,1,0
*CORN DOG,DOG,BORDER COLLIE/MIX,1,8,1,0,0
PUGSLEY,DOG,PUG/MIX,1,25,1,1,1
KITTY CAT,DOG,PIT BULL,3,4,1,0,0
SASHIMI,DOG,CHIHUAHUA SH/MIX,2,1,1,0,0
COCONUT,CAT,DOMESTIC SH,1,30,1,1,1
*WENDY,CAT,DOMESTIC SH,2,23,1,1,1
BRUCIE,DOG,SIBERIAN HUSKY,4,0,1,1,0
BELLA,CAT,DOMESTIC MH,2,0,0,0,0
MAVERICK,DOG,GERM SHEPHERD/BORDER COLLIE,4,3,1,1,0
SASHA,DOG,PIT BULL/MIX,3,61,0,1,1
LUCIEN,DOG,SIBERIAN HUSKY,3,1,0,1,0
DIESEL,DOG,PIT BULL/MIX,3,1,1,1,0
INDY,DOG,GERM SHEPHERD/MIX,4,1,0,1,0
*SPARROW,CAT,DOMESTIC SH,1,15,1,1,1
AZANIAH,DOG,ALASKAN HUSKY,4,15,0,0,0
PRINCE,DOG,PIT BULL,4,0,1,1,0
MISS BETTY,CAT,DOMESTIC LH,2,118,0,1,0
CHARLIE,DOG,STAFFORDSHIRE,4,1,1,0,0
MICKEY,DOG,PIT BULL/MIX,4,9,0,0,0
*GIGI,CAT,DOMESTIC SH,1,13,1,1,1
BROWNIE,DOG,CHIHUAHUA SH,2,51,0,1,1
CHEWY,CAT,DOMESTIC LH,2,27,1,1,1
DAISY,DOG,BELG MALINOIS/MIX,4,6,1,1,0
CASH,DOG,DACHSHUND/MIX,2,11,1,1,1
*MANNY,CAT,DOMESTIC SH,2,94,1,1,0
ZENA,DOG,BLACK MOUTH CUR/MIX,3,3,1,0,0
NENA,DOG,POODLE MIN,1,2,1,1,0
BONBON,DOG,CHIHUAHUA SH,1,82,1,1,1
PELUCHIN,DOG,WEST HIGHLAND/MIX,2,1,0,0,0
ROSIE,DOG,BEAGLE,2,1,1,0,0
MATILDA,OTHER,REX,2,32,1,1,1
WALLACE,DOG,PIT BULL,3,2,0,0,0
MISS KITTY,CAT,DOMESTIC SH,2,30,1,1,1
HAROLD,DOG,POMERANIAN,1,33,0,1,1
BRUISER,DOG,PIT BULL/MIX,4,9,1,1,0
ROCKWELL NORMAN,DOG,PIT BULL,4,0,0,0,0
*SPIDEY,CAT,DOMESTIC LH,2,49,0,1,1
LAINEY,CAT,DOMESTIC SH,1,23,1,1,1
*NICOLE,DOG,GERM SHEPHERD/MIX,1,49,1,1,0
BUTTERS,DOG,PIT BULL/LABRADOR RETR,3,12,1,0,0
STORM,CAT,DOMESTIC SH,2,2,1,0,0
URSULA,DOG,GERM SHEPHERD/MIX,1,15,1,1,1
LUCERO,DOG,YORKSHIRE TERR/CAVALIER SPAN,2,5,1,0,0
PEACHES,OTHER,GUINEA PIG,2,6,1,0,1
KIRA,DOG,PIT BULL/MIX,4,66,1,1,0
LUCY,DOG,GOLDEN RETR,4,2,1,1,0
SILVER,DOG,SIBERIAN HUSKY,4,1,0,0,0
MELISSA,DOG,SIBERIAN HUSKY,3,62,0,1,0
TANK,DOG,LABRADOR RETR,4,0,1,1,0
PIA,DOG,MALTESE,2,16,1,1,1
LUCY,DOG,STAFFORDSHIRE/MIX,3,12,1,1,1
SAMONE,CAT,DOMESTIC SH,2,8,0,0,0
MIDNIGHT,CAT,DOMESTIC LH,2,2,1,1,0
*WASABI,CAT,DOMESTIC SH,1,70,1,1,1
PIPPA,CAT,SIAMESE,2,8,1,1,0
CAIRO,DOG,SIBERIAN HUSKY/MIX,3,22,1,1,0
*FRANKIE,DOG,CHIHUAHUA SH,2,188,1,0,0
*JADE,CAT,DOMESTIC SH,2,38,1,1,1
PAUL,DOG,GOLDEN RETR/MIX,4,0,1,1,0
*LIAM,DOG,PIT BULL/LABRADOR RETR,3,9,1,1,0
BO,DOG,LABRADOR RETR,3,2,1,0,0
LOLA,DOG,CHIHUAHUA SH/MIX,2,4,0,0,0
SNOW,DOG,SIBERIAN HUSKY,3,2,0,0,0
MIKEY,DOG,CHIHUAHUA SH,1,19,1,1,1
TEDDY,DOG,POODLE TOY,2,14,0,1,0
NACHO,DOG,CHIHUAHUA SH,2,0,0,1,0
CARSON,CAT,DOMESTIC SH,2,0,0,1,0
BUDDY,DOG,CHIHUAHUA LH,2,17,1,1,1
*JERRY,CAT,DOMESTIC SH,2,25,1,1,1
NINA,DOG,PIT BULL,3,9,1,1,0
DANTE,DOG,PIT BULL,3,3,1,1,0
BROOK,DOG,PIT BULL/MIX,3,0,0,1,0
CARMINE,DOG,PIT BULL,3,1,1,1,0
SNOOPY,DOG,MALTESE/MIX,1,0,0,1,0
WALTER,DOG,AMER BULLDOG/PIT BULL,4,48,1,1,1
DANDY,CAT,DOMESTIC SH,2,5,0,1,0
*FARRAH,DOG,PIT BULL,3,39,0,1,0
PANTHER,CAT,DOMESTIC SH,2,0,0,1,0
SNOWBALL,CAT,DOMESTIC SH,4,23,1,1,1
SAMMY,DOG,GERM SHEPHERD,3,0,0,0,0
BRANDEE,DOG,TOSA/MIX,3,11,0,0,0
*KARMA,OTHER,PARAKEET,2,8,1,0,1
ROSCOE,DOG,BORDER COLLIE/MIX,3,21,0,1,0
HUNTER,DOG,PARSON RUSS TER/MIX,2,0,1,0,0
*JUNIPER,CAT,DOMESTIC SH,1,91,1,1,1
ACE,DOG,PIT BULL,4,8,0,1,0
BUDDY,DOG,BEAGLE,3,1,0,1,0
JASPER,CAT,DOMESTIC SH,2,8,1,1,1
SAM,CAT,SIAMESE,2,7,1,1,0
COOPER,DOG,LABRADOR RETR,4,5,1,1,0
FREYA,CAT,DOMESTIC SH,1,62,1,1,1
BOB,DOG,PIT BULL/MIX,3,2,0,0,0
*RUE,CAT,DOMESTIC SH,2,27,1,1,1
TIGER,CAT,DOMESTIC SH,1,15,1,1,1
ID #29748,CAT,DOMESTIC SH,1,14,0,0,0
*RIDER,DOG,CHIHUAHUA SH,2,20,1,1,1
SADIE,DOG,PIT BULL/MIX,3,1,1,1,0
*JACK,CAT,DOMESTIC MH,1,3,1,1,1
DAISY,DOG,DACHSHUND/MIX,1,43,1,1,1
MILLIE,CAT,DOMESTIC SH,2,8,1,1,0
LOLA,DOG,CHIHUAHUA SH,2,3,1,0,0
GRIZELDA,DOG,CHIHUAHUA SH/MIX,2,17,1,1,1
LUNA,DOG,GERM SHEPHERD,4,33,0,1,0
VIOLET,DOG,PIT BULL,3,16,0,0,0
LITTLE MAN,DOG,PIT BULL,4,3,1,1,0
*HAMLET,DOG,CHIHUAHUA SH,2,18,0,0,0
CAPTAIN,DOG,LABRADOR RETR/MIX,3,1,1,1,0
REEF,DOG,YORKSHIRE TERR/MIX,2,1,0,0,0
ROXY,DOG,LABRADOR RETR/MIX,4,2,1,1,0
STARLA,DOG,DACHSHUND WH/CAIRN TERRIER,2,14,1,1,1
KENZIE,CAT,DOMESTIC SH,2,1,1,1,0
*ANDREW,CAT,DOMESTIC SH,1,8,1,1,1
*SCHMOOPIE,CAT,DOMESTIC SH,2,14,0,1,1
HAPPY,DOG,WEIMARANER,3,0,1,1,0
*MIKEY,CAT,DOMESTIC SH,1,5,1,1,1
REX,DOG,GERM SHEPHERD,3,3,0,1,0
PUPPY,DOG,ALASKAN HUSKY,3,0,0,0,0
RILEY,CAT,DOMESTIC SH,1,21,1,1,1
BRAUNIE,DOG,PIT BULL/MIX,3,8,0,1,0
*CHARLIE,OTHER,CALIFORNIAN,2,88,1,1,0
JAMES,CAT,DOMESTIC SH,2,0,1,1,0
*IVY,CAT,DOMESTIC MH,1,18,1,1,1
MIA,DOG,BORDER COLLIE/MIX,3,0,0,0,0
*ROLLO,CAT,DOMESTIC SH,2,19,1,1,1
RAMPAGE,DOG,GERM SHEPHERD/MIX,4,3,0,0,0
*ERNIE,DOG,GERM WH POINT/MIX,1,34,1,1,1
TUBBS,DOG,CAIRN TERRIER/SKYE TERRIER,2,34,1,1,1
BUDDY,DOG,CHIHUAHUA SH,2,3,1,1,0
OSO,DOG,PIT BULL/MIX,3,0,0,0,0
*ANNIE,CAT,DOMESTIC SH,2,50,1,1,1
ONIPA-A,DOG,ROTTWEILER,4,6,0,0,0
KONA,CAT,DOMESTIC MH,2,7,0,1,0
CHEVY,DOG,PARSON RUSS TER,2,0,1,1,0
HOMER II,DOG,GERM SHEPHERD/CHOW CHOW,3,0,1,0,0
*SHEILA,DOG,ROTTWEILER,4,70,0,1,0
ZOEY,DOG,CAIRN TERRIER/MIX,3,1,1,1,0
HINAMI,CAT,DOMESTIC SH,2,5,0,1,0
ROZU,CAT,DOMESTIC SH,2,57,0,1,1
*GROOT,DOG,LABRADOR RETR/MIX,4,43,0,1,0
BUDDY,DOG,PIT BULL,3,10,1,1,0
CHILLON,DOG,CHIHUAHUA SH/MIX,2,1,1,1,0
PORSCHE,CAT,HIMALAYAN,2,46,1,1,0
CEIGE,DOG,GERM SHEPHERD/PIT BULL,4,107,0,1,0
*GAIA,DOG,PIT BULL/MIX,3,77,0,1,0
*VIDA,CAT,DOMESTIC SH,1,15,0,0,0
*RANDALL,CAT,DOMESTIC SH,1,7,1,1,1
JAX,DOG,LABRADOR RETR,4,29,1,1,1
KING,DOG,PIT BULL/MIX,4,29,0,0,0
BUGGY,DOG,DACHSHUND LH/MIX,2,1,0,1,0
ZORBA,DOG,MASTIFF,5,33,1,1,1
ROXY,DOG,CHINESE SHARPEI/MIX,3,0,1,1,0
SPOT,CAT,DOMESTIC SH,1,7,1,1,1
SNOWFLAKE,DOG,CATAHOULA/MIX,3,1,0,1,0
*PETEY,DOG,PIT BULL,3,121,1,1,1
*ROBERT,DOG,RAT TERRIER/MIX,2,21,1,1,1
*APOLLO,DOG,BOXER,4,40,0,1,1
TARA,DOG,BEAGLE/PARSON RUSS TER,3,16,1,1,1
LADY,DOG,CHIHUAHUA SH/MIX,2,72,1,1,1
CB,DOG,BORDER COLLIE,3,23,1,1,1
SASHA,CAT,DOMESTIC LH,2,1,1,1,1
*BENNY,DOG,PIT BULL,4,18,0,1,0
PINTO,CAT,DOMESTIC SH,2,3,0,0,0
TASHA,DOG,BORDER COLLIE/MIX,3,0,1,1,0
MR. B,DOG,DACHSHUND,3,3,0,1,0
VANILLA,DOG,BULL TERRIER/LABRADOR RETR,4,28,0,0,0
SQUIRT,DOG,MASTIFF/MIX,5,1,0,0,0
CHEVY,DOG,PIT BULL,4,0,1,1,0
D-BO,DOG,CHOW CHOW/LABRADOR RETR,3,0,1,0,0
MOLLY,DOG,ENG COONHOUND/MIX,3,3,1,1,0
*JESSICA,CAT,DOMESTIC SH,1,6,1,1,1
SARAH,DOG,FOX TERR WIRE/MIX,2,12,1,1,1
*LUCY,CAT,DOMESTIC SH,1,9,1,1,1
BARKLEY,DOG,CAVALIER SPAN/MIX,3,10,1,1,1
LOGAN,DOG,DOBERMAN PINSCH,3,5,0,0,0
BLANCO,OTHER,HORSE,5,8,0,0,0
*MICHAEL,CAT,DOMESTIC SH,2,39,1,1,1
*SMUDGE,CAT,DOMESTIC SH,2,12,1,1,1
RONNIE,DOG,LABRADOR RETR/FLAT COAT RETR,1,11,1,1,1
NEIL,CAT,DOMESTIC SH,2,7,1,1,1
ERNIE,DOG,TIBETAN TERR/MIX,3,9,1,1,1
ROMEO,DOG,FOX TERR SMOOTH,2,42,0,0,0
CABELA,DOG,PLOTT HOUND/MIX,4,2,1,0,0
CAPITAN,DOG,GERM SHEPHERD,3,4,1,1,0
RHONDA,CAT,DOMESTIC SH,2,1,0,1,0
WHISKERS,CAT,DOMESTIC SH,1,48,1,1,1
DOONA,DOG,PIT BULL,4,30,0,1,0
PATTY,DOG,BORDER COLLIE/MIX,3,0,1,0,0
GUS,DOG,AMER BULLDOG/BOXER,4,42,1,1,1
PEANUT,DOG,CHIHUAHUA SH/MIX,1,2,1,1,0
PEPPER,DOG,LABRADOR RETR/MIX,4,35,0,1,0
ROXIE,DOG,GERM SHEPHERD,4,26,1,0,0
WHISKEY,DOG,PIT BULL,4,5,1,1,0
PHEONIX,DOG,PIT BULL,3,1,1,1,0
*BEAN,CAT,DOMESTIC SH,1,67,0,1,1
SADY,DOG,LABRADOR RETR/PIT BULL,3,10,0,0,0
BLACKIE,DOG,YORKSHIRE TERR/MIX,2,10,0,0,0
CODY,DOG,WELSH CORGI PEM/MIX,3,10,1,1,1
OPHELIA,DOG,PIT BULL,4,15,0,0,0
CLEO,CAT,DOMESTIC SH,2,31,1,1,1
*CANDY,CAT,DOMESTIC SH,2,20,1,1,1
*SABRINA,CAT,DOMESTIC LH,1,21,1,1,1
CALI,DOG,PIT BULL/CATAHOULA,1,21,1,1,1
GRACIE,DOG,LABRADOR RETR,4,21,1,1,1
JOON,DOG,SIBERIAN HUSKY/MIX,3,7,0,1,0
BODIE,DOG,GERM SHEPHERD,4,1,1,1,0
OZZY,DOG,PIT BULL,3,0,0,1,0
*GEORGE,CAT,DOMESTIC SH,1,42,1,1,1
*CHRIS,DOG,PIT BULL,1,6,1,1,1
MARK,DOG,PIT BULL,4,14,0,0,0
FAT CHANCE,DOG,AUST SHEPHERD,3,0,1,1,0
MARLOWE,OTHER,LOP-MINI,2,1,1,1,1
*NILLA,DOG,CHIHUAHUA SH,2,24,1,1,0
CALLIE,DOG,PIT BULL,3,9,1,1,0
SPAZ,DOG,PIT BULL,1,2,1,0,0
CINNAMON,DOG,PIT BULL/CHINESE SHARPEI,4,66,0,1,0
*MOXIE,DOG,BORDER COLLIE,3,823,0,1,1
RAIDER,DOG,PIT BULL,3,1,1,0,0
*SELENE,CAT,DOMESTIC MH,2,10,1,1,0
BAILEY,DOG,PIT BULL/MIX,4,12,1,1,1
GIZMO,DOG,POODLE MIN,2,3,1,1,0
GINGER,OTHER,RABBIT SH,2,15,1,1,0
*JAMES,CAT,DOMESTIC SH,2,38,0,1,0
FRANK,DOG,CHESA BAY RETR,4,14,1,1,1
KIMBER,CAT,DOMESTIC SH,1,7,1,1,1
CRUMBLE,DOG,PIT BULL,1,33,1,1,1
SUPER II,DOG,SIBERIAN HUSKY,3,1,0,1,0
*HERMAN,DOG,SC WHEAT TERR/MIX,1,25,0,1,1
MAX,CAT,MANX,2,1,0,1,0
CHANCE,DOG,PIT BULL,4,4,0,1,0
KIWI,DOG,GERM SHEPHERD/MIX,4,0,0,0,0
TOM,CAT,DOMESTIC LH,2,15,0,1,0
LOUIE,DOG,CHIHUAHUA SH,2,21,1,1,0
*SELENA,CAT,DOMESTIC LH,1,29,1,1,1
CHARLIE,DOG,CAIRN TERRIER/MIX,3,3,0,1,0
BRODY,DOG,PUG/BEAGLE,3,1,1,0,0
HANNAH,DOG,PARSON RUSS TER/MIX,2,37,0,0,0
*HARRY,CAT,DOMESTIC SH,1,59,1,1,1
LUCY,DOG,AUST CATTLE DOG/MIX,3,1,0,1,0
PANDA,DOG,PIT BULL/MIX,2,1,0,0,0
*QUEEN,DOG,ALASKAN HUSKY,4,19,1,1,1
NIKO,CAT,DOMESTIC SH,1,63,1,1,1
SADIE,DOG,POINTER/MIX,3,0,1,1,0
*BESSIE,DOG,POINTER/MIX,3,33,0,1,0
*SAM,DOG,PIT BULL,3,37,1,1,1
TREY,DOG,BOXER/ENG FOXHOUND,3,11,1,1,0
*CHARLIE,CAT,DOMESTIC SH,1,19,1,1,1
BILLIE,DOG,GERM SHEPHERD/MIX,3,7,1,1,0
HAZLE,DOG,SIBERIAN HUSKY,4,3,0,1,0
LUNA,DOG,QUEENSLAND HEEL,3,0,1,0,0
*DASHER,DOG,PIT BULL/MIX,1,46,1,1,1
GIZMO,DOG,CHIHUAHUA LH/MIX,2,2,1,1,0
RAMBO,DOG,PIT BULL,3,7,1,1,0
ORANGINA,CAT,DOMESTIC SH,2,1,0,1,0
MONTANA,DOG,CHIHUAHUA SH,2,30,1,1,0
*ABBA,CAT,DOMESTIC SH,1,45,0,1,1
